sep=,
"Time","Kalman Humi1"
2021-11-22 10:00:00,62.6 %H
2021-11-22 10:03:00,62.6 %H
2021-11-22 10:06:00,62.6 %H
2021-11-22 10:09:00,62.6 %H
2021-11-22 10:12:00,62.7 %H
2021-11-22 10:15:00,62.7 %H
2021-11-22 10:18:00,62.8 %H
2021-11-22 10:21:00,62.8 %H
2021-11-22 10:24:00,62.8 %H
2021-11-22 10:27:00,62.8 %H
2021-11-22 10:30:00,62.8 %H
2021-11-22 10:33:00,62.8 %H
2021-11-22 10:36:00,62.8 %H
2021-11-22 10:39:00,62.8 %H
2021-11-22 10:42:00,62.8 %H
2021-11-22 10:45:00,62.8 %H
2021-11-22 10:48:00,62.8 %H
2021-11-22 10:51:00,62.8 %H
2021-11-22 10:54:00,62.7 %H
2021-11-22 10:57:00,62.7 %H
2021-11-22 11:00:00,62.7 %H
2021-11-22 11:03:00,62.7 %H
2021-11-22 11:06:00,62.7 %H
2021-11-22 11:09:00,62.7 %H
2021-11-22 11:12:00,62.7 %H
2021-11-22 11:15:00,62.7 %H
2021-11-22 11:18:00,62.7 %H
2021-11-22 11:21:00,62.6 %H
2021-11-22 11:24:00,62.6 %H
2021-11-22 11:27:00,62.6 %H
2021-11-22 11:30:00,62.6 %H
2021-11-22 11:33:00,62.6 %H
2021-11-22 11:36:00,62.6 %H
2021-11-22 11:39:00,62.6 %H
2021-11-22 11:42:00,62.5 %H
2021-11-22 11:45:00,62.5 %H
2021-11-22 11:48:00,62.5 %H
2021-11-22 11:51:00,62.5 %H
2021-11-22 11:54:00,62.4 %H
2021-11-22 11:57:00,62.4 %H
2021-11-22 12:00:00,62.3 %H
2021-11-22 12:03:00,62.3 %H
2021-11-22 12:06:00,62.3 %H
2021-11-22 12:09:00,62.2 %H
2021-11-22 12:12:00,62.2 %H
2021-11-22 12:15:00,62.1 %H
2021-11-22 12:18:00,62.1 %H
2021-11-22 12:21:00,62.1 %H
2021-11-22 12:24:00,62.0 %H
2021-11-22 12:27:00,62.0 %H
2021-11-22 12:30:00,61.9 %H
2021-11-22 12:33:00,61.9 %H
2021-11-22 12:36:00,61.8 %H
2021-11-22 12:39:00,61.8 %H
2021-11-22 12:42:00,61.8 %H
2021-11-22 12:45:00,61.7 %H
2021-11-22 12:48:00,61.7 %H
2021-11-22 12:51:00,61.6 %H
2021-11-22 12:54:00,61.6 %H
2021-11-22 12:57:00,61.5 %H
2021-11-22 13:00:00,61.5 %H
2021-11-22 13:03:00,61.5 %H
2021-11-22 13:06:00,61.4 %H
2021-11-22 13:09:00,61.4 %H
2021-11-22 13:12:00,61.3 %H
2021-11-22 13:15:00,61.3 %H
2021-11-22 13:18:00,61.3 %H
2021-11-22 13:21:00,61.2 %H
2021-11-22 13:24:00,61.2 %H
2021-11-22 13:27:00,61.1 %H
2021-11-22 13:30:00,61.1 %H
2021-11-22 13:33:00,61.1 %H
2021-11-22 13:36:00,61.0 %H
2021-11-22 13:39:00,61.0 %H
2021-11-22 13:42:00,60.9 %H
2021-11-22 13:45:00,60.9 %H
2021-11-22 13:48:00,60.9 %H
2021-11-22 13:51:00,60.8 %H
2021-11-22 13:54:00,60.8 %H
2021-11-22 13:57:00,60.7 %H
2021-11-22 14:00:00,60.7 %H
2021-11-22 14:03:00,60.7 %H
2021-11-22 14:06:00,60.6 %H
2021-11-22 14:09:00,60.6 %H
2021-11-22 14:12:00,60.6 %H
2021-11-22 14:15:00,60.5 %H
2021-11-22 14:18:00,60.5 %H
2021-11-22 14:21:00,60.5 %H
2021-11-22 14:24:00,60.5 %H
2021-11-22 14:27:00,60.4 %H
2021-11-22 14:30:00,60.4 %H
2021-11-22 14:33:00,60.3 %H
2021-11-22 14:36:00,60.3 %H
2021-11-22 14:39:00,60.3 %H
2021-11-22 14:42:00,60.2 %H
2021-11-22 14:45:00,60.2 %H
2021-11-22 14:48:00,60.2 %H
2021-11-22 14:51:00,60.1 %H
2021-11-22 14:54:00,60.1 %H
2021-11-22 14:57:00,60.1 %H
2021-11-22 15:00:00,60.0 %H
2021-11-22 15:03:00,60.0 %H
2021-11-22 15:06:00,59.9 %H
2021-11-22 15:09:00,59.9 %H
2021-11-22 15:12:00,59.9 %H
2021-11-22 15:15:00,59.8 %H
2021-11-22 15:18:00,59.8 %H
2021-11-22 15:21:00,59.8 %H
2021-11-22 15:24:00,59.7 %H
2021-11-22 15:27:00,59.7 %H
2021-11-22 15:30:00,59.7 %H
2021-11-22 15:33:00,59.6 %H
2021-11-22 15:36:00,59.6 %H
2021-11-22 15:39:00,59.6 %H
2021-11-22 15:42:00,59.5 %H
2021-11-22 15:45:00,59.5 %H
2021-11-22 15:48:00,59.5 %H
2021-11-22 15:51:00,59.4 %H
2021-11-22 15:54:00,59.4 %H
2021-11-22 15:57:00,59.4 %H
2021-11-22 16:00:00,59.3 %H
2021-11-22 16:03:00,59.3 %H
2021-11-22 16:06:00,59.3 %H
2021-11-22 16:09:00,59.3 %H
2021-11-22 16:12:00,59.2 %H
2021-11-22 16:15:00,59.2 %H
2021-11-22 16:18:00,59.2 %H
2021-11-22 16:21:00,59.2 %H
2021-11-22 16:24:00,59.1 %H
2021-11-22 16:27:00,59.1 %H
2021-11-22 16:30:00,59.1 %H
2021-11-22 16:33:00,59.1 %H
2021-11-22 16:36:00,59.0 %H
2021-11-22 16:39:00,59.0 %H
2021-11-22 16:42:00,59.0 %H
2021-11-22 16:45:00,58.9 %H
2021-11-22 16:48:00,58.9 %H
2021-11-22 16:51:00,58.9 %H
2021-11-22 16:54:00,58.9 %H
2021-11-22 16:57:00,58.8 %H
2021-11-22 17:00:00,58.8 %H
2021-11-22 17:03:00,58.8 %H
2021-11-22 17:06:00,58.8 %H
2021-11-22 17:09:00,58.7 %H
2021-11-22 17:12:00,58.7 %H
2021-11-22 17:15:00,58.7 %H
2021-11-22 17:18:00,58.7 %H
2021-11-22 17:21:00,58.6 %H
2021-11-22 17:24:00,58.6 %H
2021-11-22 17:27:00,58.6 %H
2021-11-22 17:30:00,58.6 %H
2021-11-22 17:33:00,58.5 %H
2021-11-22 17:36:00,58.5 %H
